time,IRL,VDS,VAC,Unnamed: 4
0.19228,0.00263238,4.73676,3.08535,
0.19328,0.0026566,4.73434,3.09264,
0.19428,0.00268052,4.73195,3.09982,
0.19528,0.00270414,4.72959,3.10687,
0.19628,0.00272745,4.72726,3.1138,
0.19728,0.00275044,4.72496,3.1206,
0.19828,0.0027731,4.72269,3.12728,
0.19928,0.00279544,4.72046,3.13384,
0.20028,0.00281744,4.71826,3.14028,
0.20128,0.00283911,4.71609,3.14659,
0.20228,0.00286042,4.71396,3.15277,
0.20328,0.00288139,4.71186,3.15883,
0.20428,0.00290199,4.7098,3.16477,
0.20528,0.00292223,4.70778,3.17058,
0.20628,0.00294211,4.70579,3.17627,
0.20728,0.00296161,4.70384,3.18183,
0.20828,0.00298073,4.70193,3.18727,
0.20928,0.00299947,4.70005,3.19258,
0.21028,0.00301782,4.69822,3.19776,
0.21128,0.00303577,4.69642,3.20282,
0.21228,0.00305333,4.69467,3.20775,
0.21328,0.00307049,4.69295,3.21256,
0.21428,0.00308724,4.69128,3.21724,
0.21528,0.00310357,4.68964,3.22179,
0.21628,0.00311949,4.68805,3.22621,
0.21728,0.003135,4.6865,3.23051,
0.21828,0.00315007,4.68499,3.23468,
0.21928,0.00316472,4.68353,3.23872,
0.22028,0.00317894,4.68211,3.24263,
0.22128,0.00319273,4.68073,3.24642,
0.22228,0.00320607,4.67939,3.25007,
0.22328,0.00321898,4.6781,3.2536,
0.22428,0.00323143,4.67686,3.257,
0.22528,0.00324344,4.67566,3.26027,
0.22628,0.003255,4.6745,3.26342,
0.22728,0.0032661,4.67339,3.26643,
0.22828,0.00327675,4.67233,3.26932,
0.22928,0.00328693,4.67131,3.27207,
0.23028,0.00329666,4.67033,3.2747,
0.23128,0.00330591,4.66941,3.2772,
0.23228,0.0033147,4.66853,3.27957,
0.23328,0.00332302,4.6677,3.28181,
0.23428,0.00333087,4.66691,3.28392,
0.23528,0.00333825,4.66618,3.2859,
0.23628,0.00334514,4.66549,3.28775,
0.23728,0.00335156,4.66484,3.28947,
0.23828,0.00335751,4.66425,3.29106,
0.23928,0.00336297,4.6637,3.29252,
0.24028,0.00336795,4.66321,3.29385,
0.24128,0.00337244,4.66276,3.29505,
0.24228,0.00337645,4.66235,3.29612,
0.24328,0.00337998,4.662,3.29706,
0.24428,0.00338301,4.6617,3.29787,
0.24528,0.00338557,4.66144,3.29855,
0.24628,0.00338763,4.66124,3.2991,
0.24728,0.0033892,4.66108,3.29952,
0.24828,0.00339029,4.66097,3.29981,
0.24928,0.00339089,4.66091,3.29997,
0.25028,0.00339099,4.6609,3.29999,
0.25128,0.00339061,4.66094,3.29989,
0.25228,0.00338974,4.66103,3.29966,
0.25328,0.00338838,4.66116,3.2993,
0.25428,0.00338653,4.66135,3.29881,
0.25528,0.0033842,4.66158,3.29818,
0.25628,0.00338137,4.66186,3.29743,
0.25728,0.00337806,4.66219,3.29655,
0.25828,0.00337427,4.66257,3.29554,
0.25928,0.00336998,4.663,3.29439,
0.26028,0.00336522,4.66348,3.29312,
0.26128,0.00335997,4.664,3.29172,
0.26228,0.00335424,4.66458,3.29018,
0.26328,0.00334803,4.6652,3.28852,
0.26428,0.00334134,4.66587,3.28673,
0.26528,0.00333418,4.66658,3.2848,
0.26628,0.00332654,4.66735,3.28275,
0.26728,0.00331843,4.66816,3.28057,
0.26828,0.00330984,4.66902,3.27826,
0.26928,0.00330079,4.66992,3.27582,
0.27028,0.00329127,4.67087,3.27325,
0.27128,0.00328129,4.67187,3.27055,
0.27228,0.00327085,4.67292,3.26772,
0.27328,0.00325995,4.67401,3.26476,
0.27428,0.00324859,4.67514,3.26167,
0.27528,0.00323678,4.67632,3.25846,
0.27628,0.00322452,4.67755,3.25511,
0.27728,0.00321181,4.67882,3.25164,
0.27828,0.00319866,4.68013,3.24804,
0.27928,0.00318507,4.68149,3.24431,
0.28028,0.00317104,4.6829,3.24046,
0.28128,0.00315658,4.68434,3.23647,
0.28228,0.00314169,4.68583,3.23236,
0.28328,0.00312637,4.68736,3.22812,
0.28428,0.00311064,4.68894,3.22375,
0.28528,0.00309448,4.69055,3.21925,
0.28628,0.00307791,4.69221,3.21463,
0.28728,0.00306094,4.69391,3.20988,
0.28828,0.00304356,4.69564,3.20501,
0.28928,0.00302577,4.69742,3.2,
0.29028,0.0030076,4.69924,3.19488,
0.29128,0.00298903,4.7011,3.18962,
0.29228,0.00297008,4.70299,3.18424,
0.29328,0.00295074,4.70493,3.17873,
0.29428,0.00293103,4.7069,3.1731,
0.29528,0.00291095,4.7089,3.16734,
0.29628,0.0028905,4.71095,3.16146,
0.29728,0.0028697,4.71303,3.15546,
0.29828,0.00284854,4.71515,3.14932,
0.29928,0.00282703,4.7173,3.14307,
0.30028,0.00280517,4.71948,3.13669,
0.30128,0.00278298,4.7217,3.13018,
0.30228,0.00276046,4.72395,3.12356,
0.30328,0.00273761,4.72624,3.11681,
0.30428,0.00271444,4.72856,3.10993,
0.30528,0.00269096,4.7309,3.10294,
0.30628,0.00266717,4.73328,3.09582,
0.30728,0.00264308,4.73569,3.08857,
0.30828,0.0026187,4.73813,3.08121,
0.30928,0.00259403,4.7406,3.07373,
0.31028,0.00256907,4.74309,3.06612,
0.31128,0.00254385,4.74562,3.05839,
0.31228,0.00251835,4.74816,3.05055,
0.31328,0.00249259,4.75074,3.04258,
0.31428,0.00246658,4.75334,3.03449,
0.31528,0.00244033,4.75597,3.02628,
0.31628,0.00241383,4.75862,3.01795,
0.31728,0.0023871,4.76129,3.00951,
0.31828,0.00236015,4.76399,3.00094,
0.31928,0.00233298,4.7667,2.99226,
0.32028,0.0023056,4.76944,2.98345,
0.32128,0.00227801,4.7722,2.97453,
0.32228,0.00225023,4.77498,2.96549,
0.32328,0.00222227,4.77777,2.95634,
0.32428,0.00219412,4.78059,2.94707,
